#{"t_start": 1742559698.5896683, "env_id": "Hopper-v5"}
r,l,t
11.196586,16,0.111814
4.073801,7,0.147941
8.46926,12,0.20358
9.969311,15,0.287619
36.068681,26,0.405198
20.424412,22,0.508486
12.295075,23,0.641392
18.103844,21,0.776051
7.921344,26,0.898972
16.290246,27,1.026379
13.628809,13,1.106083
5.993946,9,1.15127
6.6199,15,1.231575
8.570752,23,1.349466
67.344231,44,1.584023
75.486363,48,1.838626
10.694495,18,1.942331
9.075749,13,2.014056
10.428454,19,2.110489
13.321878,18,2.208935
18.156325,20,2.326371
74.064039,47,2.588542
36.753739,29,2.750967
19.780061,23,8.068298
28.616461,25,8.182212
8.069268,13,8.244939
84.512321,54,8.503016
10.458534,14,8.567475
167.705276,82,8.95848
17.529132,36,9.145827
29.883364,31,9.30934
53.171095,47,9.588681
12.397131,23,9.704276
78.18719,45,9.948134
10.501906,26,10.079574
19.561277,21,10.212259
21.961454,31,10.381297
9.067807,19,10.482612
16.933955,20,10.602367
62.7425,37,15.907628
44.419085,41,16.091001
26.283177,37,16.280988
124.909785,66,16.595139
158.668638,106,17.131476
27.887457,26,17.27428
29.235724,24,17.405445
116.063522,70,17.778402
250.292502,129,23.666322
187.940253,107,24.137393
53.552128,32,24.308792
120.93028,65,24.640024
103.075409,57,24.942665
70.290291,41,25.135129
64.329848,39,25.334833
174.952126,81,25.762454
8.793934,12,25.826447
59.995902,37,26.03443
65.162557,39,31.32912
181.494832,93,31.74252
59.418065,35,31.919629
209.817725,96,32.419706
211.904529,109,33.023195
223.453716,116,33.655235
175.041331,94,39.219053
191.171231,88,39.617248
183.6304,88,40.062554
183.099958,90,40.553525
195.509786,91,41.028768
53.606976,32,41.210992
199.900839,89,46.984787
184.606264,85,47.410188
89.165605,51,47.655062
203.997477,101,48.134466
184.328158,85,48.603964
201.784487,90,49.130625
185.591424,86,55.091575
199.069439,91,55.553264
185.492272,86,56.007717
193.367945,88,56.480788
196.837809,87,56.973572
185.149991,86,57.473468
200.633589,88,63.303846
184.519699,90,63.794795
178.430544,87,64.241338
182.064514,85,64.715343
190.063672,85,65.263606
190.333119,89,65.782093
195.476258,86,71.831453
191.180264,87,72.27475
220.668366,96,72.769219
188.757049,85,73.202947
79.059074,45,73.465189
185.866416,85,73.957202
191.635115,87,74.472126
229.906153,97,80.30373
190.550993,88,80.745637
187.575598,85,81.268405
176.48313,81,81.730987
186.820582,84,82.218152
43.91039,26,82.377277
270.686848,107,88.237444
263.559435,104,88.733564
263.859549,105,89.240622
273.162337,111,89.84482
272.128547,110,90.519804
279.728751,111,96.354664
211.107865,93,96.804663
282.70917,112,97.376335
194.214969,90,97.867016
276.118763,116,98.46707
271.773984,111,104.561354
260.251039,104,105.083938
289.493814,117,105.735216
272.145905,107,106.325568
261.359038,109,112.617615
250.100645,102,113.091415
293.608746,111,113.626238
275.549888,108,114.18233
319.342389,119,114.848326
302.82319,114,120.909542
318.796277,121,121.51163
325.818803,124,122.215795
313.842199,122,122.867578
304.226392,114,128.966756
303.166943,115,129.555356
330.330759,123,130.162479
329.015958,121,130.844483
322.619693,125,136.943035
349.98787,124,137.546126
322.432512,127,138.191724
331.803254,125,138.824438
306.762132,117,139.419298
363.381866,129,145.558613
311.932523,125,146.177879
224.852045,97,146.67222
350.478966,132,147.413434
297.975612,117,153.633554
346.851286,128,154.294838
341.811486,126,154.931761
313.962226,118,155.607675
65.77569,37,155.815007
333.987915,124,161.867842
83.755209,47,162.101888
316.882066,124,162.695694
337.552684,126,163.374481
359.310254,133,169.54854
322.991244,121,170.187171
346.584164,129,170.923563
332.677206,125,171.670868
266.314193,109,172.276525
319.567053,119,178.242995
352.352266,132,178.883875
259.30316,107,179.450094
358.038132,132,180.164291
342.15254,124,186.258793
361.274226,129,186.86816
363.85207,131,187.556334
348.860026,130,188.289954
363.040518,133,194.008607
342.557916,126,194.628449
85.937185,47,194.872087
151.601463,77,195.269906
359.594191,130,195.985747
364.569306,135,202.181858
344.131047,125,202.791214
352.02458,131,203.499872
370.125863,135,204.242248
342.274433,125,210.243238
369.004756,136,211.085833
344.813999,127,211.78363
361.26051,131,212.523122
362.15218,130,219.096883
349.310646,126,219.824112
366.23198,135,220.544155
364.776188,132,221.304019
340.524543,130,227.511859
376.006624,136,228.245122
232.622849,99,228.773509
369.052418,133,229.544348
352.027213,131,236.355169
354.831423,132,237.040501
364.635984,135,237.769823
358.819777,133,238.513062
360.454054,131,244.294235
359.809754,133,245.012326
368.054177,134,245.719754
354.454499,129,251.842779
371.543613,136,252.500607
359.694165,129,253.175191
357.265884,129,253.910775
360.803461,133,260.197729
362.588888,134,260.843962
81.718815,45,261.061585
363.497025,131,261.699876
370.625663,136,262.465581
373.722505,134,268.430316
365.44489,134,269.076575
363.283577,131,269.75364
368.587898,133,270.483379
366.460834,135,276.425591
147.46712,76,276.796024
369.196737,133,277.532758
95.511807,53,277.824696
373.625477,134,283.660296
371.499176,134,284.364935
370.121831,133,285.044877
358.275306,131,285.812767
367.054908,133,291.897663
359.6428,133,292.65904
357.21977,129,293.393394
367.405036,133,294.154715
355.882319,132,300.199827
365.779328,133,300.825976
362.354816,133,301.537257
311.011631,117,302.19254
361.652585,130,308.037978
362.064096,134,308.708187
353.119255,132,309.375128
373.18616,132,310.079381
367.149219,135,316.129613
359.293853,131,316.795876
351.89187,129,317.475749
360.458865,131,318.201312
364.862619,130,324.322065
369.031166,135,325.004608
370.390463,133,325.748564
370.341314,135,326.510274
363.025661,132,332.648153
370.835353,134,333.294926
361.907969,134,333.979631
362.917604,129,334.718057
359.526234,133,340.910098
364.821657,132,341.602605
365.235817,133,342.239417
363.458859,135,342.959921
369.334612,132,349.067286
369.964779,132,349.728988
364.113693,132,350.370116
364.909454,132,356.579092
360.330724,133,357.225278
367.143887,135,357.899968
102.314632,56,358.19281
371.393998,134,358.888673
369.451016,132,364.60918
369.109001,133,365.242104
365.549044,134,365.949663
367.667028,131,366.676199
370.688606,134,372.631582
353.12272,130,373.251364
132.619992,71,373.600426
365.86373,133,374.300492
371.04946,133,380.366291
368.426087,134,380.966272
371.338611,136,381.650579
363.981647,134,382.310737
306.890339,118,388.456405
365.863383,132,389.244105
363.757506,133,390.005862
342.150178,128,390.727388
375.750007,133,396.98798
367.377805,135,397.633107
368.521489,135,398.34813
358.454689,131,399.074662
365.998009,134,405.142601
372.774506,134,405.828699
368.423395,135,406.489186
368.499558,131,412.843053
373.527,135,413.490886
366.622139,135,414.263432
367.192386,135,415.071939
369.419448,133,421.371687
328.935997,124,421.989436
364.998797,135,422.605229
368.220814,133,423.356779
290.876609,114,429.536585
315.899473,122,430.207288
375.082464,135,430.831268
259.175784,105,431.355684
373.58351,133,437.422742
343.951092,128,438.030635
326.289188,124,438.641128
293.723121,114,439.278625
341.692798,126,439.969133
350.200569,131,446.200415
372.775753,136,446.912581
375.130265,136,447.720785
352.721216,132,454.06031
363.999656,134,454.684769
249.772064,102,455.201663
366.167964,130,455.873285
235.223208,99,456.419719
315.892181,120,462.218641
347.237601,126,462.868345
370.910387,136,463.53817
372.457474,136,464.311423
367.575799,135,470.439258
375.892351,136,471.113013
371.741666,133,471.799568
154.522037,79,472.235799
369.940642,133,478.485793
373.408107,136,479.126934
367.285887,133,479.769021
371.124755,133,480.48993
374.480631,136,486.625367
374.801954,134,487.239932
370.138766,132,487.913627
367.627538,134,488.70673
364.071378,135,494.73123
375.303485,137,495.413506
377.134968,134,496.114182
370.773373,135,502.624654
372.273579,133,503.307526
374.264476,133,504.00719
365.574277,135,504.734957
367.777853,129,510.836479
366.898685,130,511.502525
363.030055,134,512.13778
364.263875,134,512.905473
367.559221,135,518.988036
374.955041,135,519.667441
373.010433,133,520.333953
372.057441,133,521.10114
355.299615,131,527.247211
160.641272,79,527.65734
376.810652,137,528.390953
374.193707,134,529.163462
370.477945,134,535.364141
367.048245,133,536.099982
368.829218,133,536.920757
372.066863,136,537.737382
352.265832,130,543.813638
368.316822,135,544.438978
246.909542,104,545.013013
374.753493,134,545.783399
377.514819,134,552.055939
372.986091,137,552.704913
373.274158,134,553.440905
366.071493,132,554.174798
227.763247,97,559.824361
370.841137,136,560.455893
383.557748,138,561.176157
370.916351,136,561.886047
370.208618,136,567.882044
378.997217,135,568.550274
367.8361,132,569.285469
372.909892,134,570.026247
370.099336,134,576.252877
369.298408,135,576.989967
371.245724,131,577.663707
243.859901,102,578.237194
366.468407,130,584.238572
360.710208,133,584.878633
303.726949,117,585.485622
372.430187,133,586.20558
372.622678,133,592.33242
371.745796,132,593.073758
371.41629,133,593.786084
376.200283,137,594.585447
372.095045,134,600.570649
372.233972,135,601.24804
376.058346,136,601.950423
372.136352,134,607.892709
372.981009,133,608.524215
371.44128,135,609.215849
368.400688,135,609.938722
238.991156,101,616.233668
376.416473,134,616.914584
372.879277,135,617.581514
363.835766,134,618.303094
368.048831,136,624.147965
373.834784,136,624.764672
373.67226,133,625.498157
363.12928,134,626.282782
371.2232,136,632.627514
376.310836,136,633.300959
368.972398,133,633.95162
371.492709,136,634.72082
375.608455,135,640.890015
373.35882,133,641.56995
371.195804,136,642.318289
368.091569,135,643.017801
368.402364,135,648.993328
373.963934,134,649.7293
372.021523,135,650.461218
377.491492,134,656.651248
373.365569,132,657.416785
374.717412,136,658.150918
373.211272,132,658.849099
368.345693,135,664.744581
372.839097,136,665.440476
357.175418,132,666.138826
373.851954,134,666.865481
138.817838,74,667.284481
379.975369,136,673.506496
371.243927,135,674.344264
362.444521,133,675.053065
373.255774,135,681.06294
375.151855,136,681.761534
369.925288,136,682.491077
375.229557,134,683.216968
372.630953,136,689.129804
371.717409,132,689.753229
376.254816,136,690.468015
370.750248,136,691.262484
373.454994,133,697.330808
372.211713,132,697.984289
371.170626,133,698.68057
373.119839,133,699.392504
373.957482,135,705.671596
368.989376,134,706.375344
374.383342,136,707.168596
370.678483,135,707.949019
368.913924,132,714.025438
372.591554,136,714.709428
370.712737,133,715.462789
364.265554,134,721.825223
372.08015,135,722.5562
371.207151,134,723.239328
375.073386,135,724.022673
371.588548,136,730.31266
375.373085,136,731.010254
96.104113,52,731.280206
356.4999,131,731.979262
372.796749,136,732.72625
350.287613,130,738.730837
367.143836,135,739.347602
369.175747,131,740.089925
360.43469,133,740.762993
366.698462,135,746.634841
363.853473,134,747.275738
373.858232,133,747.997886
47.987567,27,748.147631
375.08984,134,754.273023
371.554974,136,754.926366
362.609886,134,755.573828
372.017933,134,756.297632
370.827343,136,762.25378
372.763504,134,762.946521
372.520548,135,763.687263
375.612611,135,764.461305
367.659081,135,770.324556
374.989656,135,770.98088
374.125071,135,771.670844
372.340117,133,772.422772
368.433758,135,778.578504
362.465608,133,779.322626
103.161639,57,779.61989
179.583656,85,780.075667
374.304303,133,786.152384
375.976797,133,786.824033
69.265171,38,787.042969
370.712186,135,787.776787
373.282557,134,788.512422
370.173549,135,794.223247
372.416556,136,794.843105
375.005076,137,795.58801
371.786198,136,796.308716
373.933801,133,802.615279
370.002108,135,803.275799
374.755249,134,803.954646
375.337122,136,810.110024
274.564189,110,810.698901
373.300166,135,811.425106
372.659891,136,812.182847
185.851771,87,812.652446
370.965759,134,818.684014
367.273286,135,819.342957
373.100137,134,820.076046
369.099433,133,820.78429
370.478681,136,826.807772
368.870447,132,827.419405
371.809927,135,828.170898
370.457319,132,834.240868
375.086253,135,834.82896
372.689119,132,835.49362
366.94184,135,836.21572
369.509337,133,842.433308
373.202427,133,843.053123
369.252284,133,843.760886
370.179737,131,844.47242
372.476192,132,850.395967
372.392075,134,851.002266
369.308256,132,851.694942
372.588326,133,852.411303
373.807947,134,858.51233
371.074526,132,859.125523
375.992416,135,859.855339
369.216513,132,860.582175
374.107711,135,866.896051
362.982184,134,867.567034
351.417923,131,868.237462
374.254618,133,868.991015
373.338323,133,875.188769
371.312993,133,875.879542
348.730237,129,876.598418
369.466409,133,877.338111
360.097429,133,883.380625
353.135535,131,883.986992
365.835468,135,884.661176
373.373656,134,890.854699
243.550194,103,891.367638
370.277589,133,891.97339
372.420595,133,892.564258
368.286163,135,898.633511
